lr-Adam/pg1,lr-Adam/pg2,step,train/batch_size,train/cls_loss,train/cls_acc,train/cls_precision,train/cls_recall,train/cls_f1,train/mat_loss,train/n_critical_max,train/rig_loss,train/loss,epoch,val/cls_loss,val/cls_acc,val/cls_precision,val/cls_recall,val/cls_f1,val/mat_loss,val/n_critical_max,val/rig_loss,val/loss,val/mat_precision,val/mat_recall,val/mat_f1,train/mat_precision,train/mat_recall,train/mat_f1
,,979,2.0,0.009423341602087021,0.996999979019165,0.8765039443969727,0.8502234816551208,0.8628822565078735,3.6976726055145264,54.0,0.247870534658432,3.9549663066864014,0,,,,,,,,,,,,,,,
,,989,2.0,0.030422670766711235,0.9873999953269958,0.7522783279418945,0.8635569214820862,0.7974323630332947,2.8454947471618652,85.0,4.373120307922363,7.249037742614746,0,,,,,,,,,,,,,,,
,,999,2.0,0.04308529570698738,0.9921000003814697,0.8935045003890991,0.7148596048355103,0.7773367762565613,4.4839863777160645,75.0,0.6679087281227112,5.194980144500732,0,,,,,,,,,,,,,,,
,,1009,2.0,0.020460763946175575,0.9908999800682068,0.8753580451011658,0.8849878311157227,0.8801090717315674,4.440811634063721,176.0,6.700480937957764,11.161752700805664,0,,,,,,,,,,,,,,,
,,1019,2.0,0.04027068614959717,0.9847999811172485,0.8078398108482361,0.8795795440673828,0.8397268056869507,3.4425528049468994,193.0,10.377238273620605,13.860061645507812,0,,,,,,,,,,,,,,,
,,1029,2.0,0.03212985768914223,0.9879000186920166,0.8558969497680664,0.901171088218689,0.8770946860313416,4.401960849761963,198.0,13.834050178527832,18.26814079284668,0,,,,,,,,,,,,,,,
,,1039,2.0,0.03390999883413315,0.9901000261306763,0.8531235456466675,0.8112590312957764,0.8308210372924805,2.971320152282715,110.0,0.8430768847465515,3.8483071327209473,0,,,,,,,,,,,,,,,
,,1049,2.0,0.04562282934784889,0.9829000234603882,0.7875450849533081,0.8690208196640015,0.8228892087936401,4.508243560791016,181.0,7.983371734619141,12.537238121032715,0,,,,,,,,,,,,,,,
,,1059,2.0,0.058176420629024506,0.9829000234603882,0.9320234656333923,0.822921633720398,0.8689090013504028,4.876992702484131,366.0,7.440987586975098,12.3761568069458,0,,,,,,,,,,,,,,,
,,1069,2.0,0.04120711237192154,0.9811999797821045,0.7261979579925537,0.834452748298645,0.7692385911941528,4.234022617340088,104.0,1.6904902458190918,5.965720176696777,0,,,,,,,,,,,,,,,
,,1079,2.0,0.03422246128320694,0.9884999990463257,0.849937379360199,0.8181562423706055,0.8332560062408447,3.613232374191284,146.0,3.8705320358276367,7.51798677444458,0,,,,,,,,,,,,,,,
,,1089,2.0,0.05667921155691147,0.9803000092506409,0.6684337854385376,0.6544189453125,0.6611029505729675,3.7626595497131348,80.0,1.3203492164611816,5.139688014984131,0,,,,,,,,,,,,,,,
,,1099,2.0,0.10018180310726166,0.9646999835968018,0.848176121711731,0.7701956629753113,0.8035696744918823,4.257967948913574,431.0,3.743708610534668,8.101858139038086,0,,,,,,,,,,,,,,,
,,1109,2.0,0.08943620324134827,0.9728000164031982,0.7670460939407349,0.6831290125846863,0.7166057229042053,5.68826961517334,276.0,15.739842414855957,21.517547607421875,0,,,,,,,,,,,,,,,
,,1119,2.0,0.12073852866888046,0.9563000202178955,0.846138596534729,0.7488448619842529,0.7881696820259094,6.01517915725708,424.0,13.314652442932129,19.45056915283203,0,,,,,,,,,,,,,,,
